country,source,title,link,published_date,published_by,description,text
Pakistan,Tribune,"‘We are not a violent nation, our first priority is peace’: DG ISPR",https://tribune.com.pk/story/2546496/we-are-not-a-violent-nation-our-first-priority-is-peace-dg-ispr,"May 18, 2025",Tribune News Desk,"Pakistan’s response to Indian aggression was measured and limited to military targets, says DG ISPR","Director General Inter-Services Public Relations (ISPR) Lt Gen Ahmed Sharif Chaudhry has reaffirmed Pakistan’s commitment to peace, saying that the country is not inclined toward violence and responded to Indian military actions with responsibility and restraint. The recent escalation began after India conducted airstrikes in Punjab and Azad Jammu and Kashmir (AJK) on May 6–7, which killed over 30 civilians. In response, Pakistan downed five Indian fighter jets and intercepted multiple drones. Subsequent Indian strikes on Pakistani military targets on May 9 prompted Islamabad to launch “Operation Bunyan Marsoos,” targeting Indian military installations while avoiding civilian infrastructure. In an interview with RT Arabic, Lt Gen Chaudhry said that “Pakistan is not a violent nation,” adding that the country's top priority remains peace. ڈی جی آئی ایس پی آر لیفٹینٹ جنرل احمد شریف کی آر ٹی عریبیہ سے خصوصی گفتگو  پاک بھارت تناؤ کو سمجھنے کے لیے اس کے پس منظر میں جانا ضروری ہے ، ڈی جی آئی ایس پی آر  بھارت اس خطے میں، خاص طور پر پاکستان میں، دہشت گردی کی سرپرستی کر رہا ہے، ڈی جی آئی ایس پی آر  بھارت حقیقت چھپانے… pic.twitter.com/XsKVos0aeJ The DG ISPR revealed that the ceasefire was requested by an Indian defence official and facilitated through American mediation. He praised Pakistan's diplomatic efforts during the standoff, calling them mature and effective. He also criticised India for rejecting Pakistan's call for a neutral investigation into the Pahalgam attack in IIOJK, for which New Delhi blamed Islamabad without presenting evidence. “India refused a logical, impartial probe and instead resorted to missile attacks on civilian targets,” he said. The ISPR chief also accused India of sponsoring terrorism in Pakistan, particularly through groups operating in Balochistan. He reiterated that Pakistan’s armed forces remain committed to protecting the country’s sovereignty and will act decisively against any aggression."
Pakistan,Tribune,No title found,https://tribune.com.pk/story/2546430/beyond-bills-and-debates,No date found,Tribune News Desk,No description found,No content found
Pakistan,Tribune,No title found,https://tribune.com.pk/story/2546417/indias-content-cold-war,No date found,Tribune News Desk,No description found,No content found
Pakistan,Tribune,No title found,https://tribune.com.pk/story/2546427/when-the-drones-came-we-still-boiled-tea,No date found,Tribune News Desk,No description found,No content found
Pakistan,Tribune,No title found,https://tribune.com.pk/story/2546429/laughing-through-the-fire,No date found,Tribune News Desk,No description found,No content found
Pakistan,Tribune,No title found,https://tribune.com.pk/story/2546428/hard-hats-and-new-horizons,No date found,Tribune News Desk,No description found,No content found
Pakistan,Tribune,World Bank-funded project cost doubles after revision,https://tribune.com.pk/story/2546440/world-bank-funded-project-cost-doubles-after-revision,"May 18, 2025",Tribune News Desk,Cost of Pakistan Raises Revenue project increased from Rs12.5 billion to Rs40.8 billion,"The government has made the third revision in the troubled World Bank-funded Pakistan Raises Revenue project and almost doubled the cost to $150 million to upgrade technology and also to procure 179 vehicles, including bullet-proof cars. In rupee terms, the cost was increased from the original price tag of Rs12.5 billion to Rs40.8 billion — a surge of 226% in addition to giving two years' extension in its completion period. The Central Development Working Party (CDWP) on Thursday referred the project to the Executive Committee of the National Economic Council (Ecnec), said a statement issued by the Planning Ministry on Friday. The CDWP also expanded the scope of Punjab Chief Minister Laptop scheme and increased its cost by 170% to Rs27 billion. The Investment Projects Financing (IPF) component of Pakistan Raises Revenue Project worth Rs40.8 billion was referred to Ecnec for further consideration. The Planning Ministry said the project will be financed through a World Bank loan. The revised project focuses on modernizing the Federal Board of Revenue's (FBR) infrastructure through the replacement of outdated hardware, deployment of a private cloud, updated software licensing, and enhanced connectivity for field formations. The project documents stated that an amount of Rs2.2 billion has been allocated for procurement of 179 vehicles of different makes at the unit cost of Rs12.5 million for Digital Enforcement Units. These include 15 bullet-proof vehicles. The government had taken a $400 million loan in the name of Pakistan Raises Revenue. Out of which, $80 million had been allocated for hardware upgrading. Now this component has been increased to $150 million. The ministry stated that the FBR's requirements have substantially changed as a result of organization-wide thrust to adopt information and communication technology (ICT) based solutions for its core operations and facilitation of taxpayer, as envisaged under the FBR Transformation Roadmap 2024. The concept clearance proposal of the programme was approved in 2019. Ecnec in 2020 approved the original project at a total cost of Rs12.6 billion. Later on, the first revision of the project was approved by Ecnec in its meeting held in 2023 at a total cost of Rs21.5 billion. Now, the cost is Rs40.8 billion. The project documents underlined that based on discussions and understanding between the FBR and the World Banks's team during Mid-Term Review (MTR) mission aide memoire, the project has been restructured for including additional funding therefore scope of the project has been revised. There are certain changes in implementation strategies for achieving the programme's objectives and goals. The additional funds will be utilized to meet the requirements. These include piloting Mobile Tax Facilitation Services, initiatives for improved taxpayer compliance, establishing forum for technical consultations with provincial tax authorities on tax harmonization, staff capacity building, backup power equipment up-gradation and control rooms, it added. The project has been restructured on instruction of the prime minister and discussions and understanding between the FBR and World Bank's team during the Mid-Term Review mission aide memoire. The FBR had also conducted an inquiry report for identifying external reasons. The delay was because of non-award of contract under original project, lack of adequate rupee cover allocations as a main hindrance in procurement during last three years and the PM's directive to revise PC-I of Pakistan Raises Revenue to include components of the FBR Transformation Plan falling within scope of the project. But the Planning Ministry stated in its comments that these risks should have been catered in the risk mitigation strategy of the project and could have been managed by the project authority. The Planning Ministry recommended fixing the responsibility for the inability to mitigate these risks to complete the project as per its approved scope and time period. The revised project is also aimed at rolling out a Single Sales Tax Return system, development of Data Warehousing and BI tools, and digital transformation of value chains, the components that do not require any foreign loan. The project supports faceless assessments, border technology upgrades, and capacity building through training, expert panels, and IT enhancements, along with business process automation and risk management frameworks, according to the Planning Ministry. The Punjab CM Laptop Scheme worth Rs27 billion was referred to Ecnec for further consideration. The project is funded by the government of Punjab and will be completed by October this year. The project aims to distribute laptops to approximately 112,000 students currently enrolled in public sector educational institutions across Punjab with the final number subject to revised allocations. Targeting students in BS, MS, MBBS, and Engineering programmes, the selection will follow criteria approved by the Steering Committee and be based on verified student data from respective institutions. This initiative seeks to digitally empower students, enhance access to educational resources, reduce socio-economic disparities, and promote equal opportunities. It also aims to foster collaboration with the local ICT industry, support economic growth and entrepreneurship, and invest in human capital by equipping students with the skills needed to compete globally and regionally. To qualify for the laptop, the public sector universities and colleges students should get a minimum of 65% marks in intermediate exams. For public sector medical and dental colleges and universities minimum of 80% marks in intermediate are required. Students must not be a recipient of any laptop from PM laptop programme or any government laptop scheme."
Pakistan,Tribune,"India licking its wounds, western enemies next: Asif",https://tribune.com.pk/story/2546480/india-licking-its-wounds-western-enemies-next-asif,"May 18, 2025",Tribune News Desk,Vows forceful response to any future Indian aggression,"Defence Minister Khawaja Muhammad Asif on Saturday declared that the recent military operation along Pakistan's eastern border represents a historic milestone, unmatched in the country's 78-year history and credited it with restoring national unity and confidence. He was addressing a group of students and teachers, who had come to congratulate him at his residence on the success of Operation Bunyan-un-Marsoos, a coordinated response by Pakistan's military forces to hostilities by India. ""Our eternal and perpetual enemy is sitting just miles away across the eastern border, licking its wounds,"" he said. ""God willing, our enemies on the western front will soon suffer the same fate."" Khawaja Asif said there was no need to respond to Indian Prime Minister Narendra Modi anymore. ""What is being said about him across India today, we ourselves could not have said it better,"" he added, referring to growing internal discontent within India. He credited the operation with uniting the country at a time when visible fissures had appeared in the national fabric. ""Fifteen or twenty days ago, we saw cracks in our national unity. Today, by the grace of God, the nation is united, and that unity now bears the mark of our armed forces' bravery. I salute them,"" he said. The minister extended his congratulations to the top military leadership, including Chief of Army Staff Gen Asim Munir, Air Chief Marshal Zaheer Ahmad Babar, Naval Chief Naveed Ashraf and Chairman Joint Chiefs of Staff Committee Gen Sahir Shamshad, for their courageous and faith-driven leadership during the operation. ""I have witnessed conflicts from very close quarters — from the 1965 war to today — but I have never seen such an emotionally charged and spiritually driven leadership,"" he said. ""It was your leadership that instilled strength in our soldiers. I am a direct witness to your resolve and bravery."" Asif also praised Prime Minister Shehbaz Sharif for standing shoulder-to-shoulder with the armed forces at every moment of the crisis. ""He led the nation, conveyed to the military that the civilian government fully supports them, and assured them that it stands beside them with the strength of 250 million people,"" the minister said. ""No matter how far we have to go to defend the homeland, we are united under one banner."" He warned that nations which forget their history are themselves forgotten by history."
Pakistan,Tribune,Govt to dissolve Imran's flagship project,https://tribune.com.pk/story/2546433/govt-to-dissolve-imrans-flagship-project,"May 18, 2025",Tribune News Desk,Prime Minister Shehbaz Sharif has decided to dissolve the Naya Pakistan Housing and Development Authority (NAPHDA),"Prime Minister Shehbaz Sharif has decided to dissolve the Naya Pakistan Housing and Development Authority (NAPHDA), a flagship project of former prime minister Imran Khan's government. Reliable sources confirmed that PM Sharif has decided to wind up the authority, a national construction organization responsible for the planning, development, construction and management of real estate projects across the country. In this regard, the contract of Major General (retd) Amir Aslam Khan, the current NAPHDA chairman, has not been renewed. Meanwhile, Captain (retd) Muhammad Zafar Iqbal has been appointed as the acting chairman of the authority. His appointment will be for a period of three months, according to a notification issued by the Establishment Division. According to the notification, Captain (retd) Iqbal will hold additional charge as acting chairman either for three months or until a permanent appointment is made. Iqbal is a BS-20 officer of the Pakistan Administrative Service, and is currently serving as the director general of the Federal Government Employees Housing Authority. The authority had an annual budget of Rs400 million, and over the past five years, its total budget reached Rs2 billion yet its output remained zero, sources added. The NAPHDA was established on January 15, 2020. The Senate of Pakistan passed the Naya Pakistan Housing and Development Authority Bill in 2019."
Pakistan,Tribune,IMF slaps 11 new conditions on Pakistan,https://tribune.com.pk/story/2546475/imf-slaps-11-new-conditions-on-pakistan,"May 18, 2025",Tribune News Desk,Foreign lender releases Staff Level report,"The International Monetary Fund (IMF) has slapped 11 new conditions on Pakistan, including approval of a new Rs17.6 trillion worth budget, increasing debt servicing surcharge on electricity bills and lifting restrictions on the import of more than three years old used cars. The Staff Level report, which the IMF released on Saturday, also said that ""rising tensions between India and Pakistan, if sustained or deteriorate further, could heighten risks to the fiscal, external and reform goals of the programme"". The report further stated that tensions between Pakistan and India have risen significantly over the past two weeks but so far the market reaction has been modest with the stock market retaining most of its recent gains and spreads widening moderately. The IMF has shown the defense budget for the next fiscal year at Rs2.414 trillion, which is higher by Rs252 billion or 12%. Compared to the IMF's projection, the government has indicated allocating over Rs2.5 trillion or 18% higher budget after India's naked aggression. The report revealed that the IMF has slapped 11 more conditions on Pakistan for the sake of just $7 billion lending, taking the total conditions to 50. It has imposed a new condition of securing ""parliamentary approval of the fiscal year 2026 budget in line with the IMF staff agreement to meet programme targets by end-June 2025"". The IMF has shown the total size of the federal budget at Rs17.6 trillion, including Rs1.07 trillion for the development spending. The Express Tribune had reported a few days ago that the government would present over Rs17.5 trillion budget. The IMF has shown interest spending at Rs8.7 trillion, the primary budget surplus at Rs2.1 trillion and the overall deficit at Rs6.6 trillion. A new condition has also been imposed on the provinces where the four federating units will implement the new Agriculture Income Tax laws through a comprehensive plan, including the establishment of an operational platform for processing returns, taxpayer identification and registration, a communication campaign, and a compliance improvement plan. The deadline for the provinces is June this year. According to the third new condition, the government will publish a governance action plan based on the recommendations of the Governance Diagnostic Assessment by the IMF. The purpose of the report is to publicly identify reform measures to address critical governance vulnerabilities. The fourth new condition states that the government will give annual inflation adjustment of the unconditional cash transfer programme to maintain people real purchasing power Another new condition states that the government will prepare and publish a plan outlining the government's post-2027 financial sector strategy, outlining the institutional and regulatory environment from 2028 onwards. In the energy sector, four new conditions have been introduced. The government will issue notifications of the annual electricity tariff rebasing by July 1st of this year to maintain energy tariffs at cost recovery levels. It will also issue notification of the semi-annual gas tariff adjustment to maintain energy tariffs at cost recovery levels by February 15, 2026, according to the report. Parliament will also adopt legislation to make captive power levy ordinance permanent by the end of this month, according to the IMF. The government has increased the cost for the industries to force them to shift to the national electricity grid. Parliament will also adopt legislation to remove the maximum Rs3.21 per unit cap on the debt service surcharge, which is tantamount to punishing honest electricity consumers to pay for the inefficiency of the power sector. The IMF and the World Bank dictated that wrong energy policies are causing the accumulation of the circular debt in addition to the government's bad governance. The deadline to remove the cap is the end of June, according to the report. The IMF has also imposed a condition that Pakistan will prepare a plan based on the assessment conducted to fully phase out all incentives in relation to Special Technology Zones and other industrial parks and zones by 2035. The report has to be prepared by the end of this year. In a consumer-friendly condition, the IMF has asked Pakistan to submit to the Parliament all required legislation for lifting all quantitative restrictions on the commercial importation of used motor vehicles (initially only for vehicles less than five years old by end of July. Currently only up to three years old cars can be imported and there are many non-tariff barriers to discourage the import. The purpose of lifting these restrictions is liberalizing trade and increasing vehicle affordability, said the IMF. In addition to imposing new conditions, the IMF has also made adjustments in the earlier conditions. Programme Implementation The IMF has extended the deadlines of four conditions whose implementation had been delayed. The lender said that the government met all seven quantitative performance criteria for end-December 2024. These were floors on net international reserves of the SBP; targeted cash transfer spending; the number of new tax returns from new filers, the ceilings on net domestic assets of the SBP; the SBP's FX swaps; the general government primary budget deficit; and government guarantees. The majority of indicative targets were met at end-December, including the ceilings on the aggregate provincial primary budget deficit; net accumulation of tax refund arrears; and power sector payment arrears; the floors on revenues collected by provincial revenue authorities; and the weighted average maturity of local currency debt securities. However, the conditions on the government health and education spending; net tax revenues collected by the FBR; and net tax revenues collected from retailers under the Tajir Dost scheme were missed, said the IMF. The respective governments also met nine structural benchmarks including on approval of a National Fiscal Pact, improving safeguards for monetary policy operations and approval of amendments to bank resolution and deposit legislation. But the structural benchmark on provincial Agricultural Income Tax legislation was not met at the end-October, but this legislation was subsequently passed in February 2025. Another two structural benchmarks were missed due to delays in passing amendments to the Civil Servants and Sovereign Wealth Fund (SWF) Acts. Two SBs relating to resolving undercapitalized banks and to captive power producers were missed, but subsequent policy actions are expected to accomplish the underlying objectives, said the IMF."
Pakistan,Tribune,No title found,https://tribune.com.pk/story/2546426/indias-risky-gambit-over-the-indus,No date found,Tribune News Desk,No description found,No content found
Pakistan,Tribune,Netanyahu isolated in Trump's official Gulf tour,https://tribune.com.pk/story/2546519/netanyahu-isolated-in-trumps-official-gulf-tour,"May 18, 2025",Tribune News Desk,"Trump's Gulf tour cements new Sunni-led Mideast order, eclipsing Iran and sidelining Israel, sources say","Nothing captured Israeli Prime Minister Benjamin Netanyahu's isolation more starkly this week than the image of US President Donald Trump shaking hands with Syria's Islamist leader Ahmed al‑Sharaa - a man Israel has branded ""an al‑Qaeda terrorist in a suit."" ""He's got the potential. He's a real leader,"" Trump told reporters after talks with Sharaa on Wednesday in Riyadh - a meeting brokered by his Saudi hosts, with whom the US president agreed a slew of arms, business and technology deals. Trump's whirlwind four-day tour of Saudi Arabia, Qatar and the United Arab Emirates this week was more than just a diplomatic spectacle marked by lucrative investments. It sealed the emergence of a new Sunni-led Middle East order - one that eclipses Iran's shattered 'axis of resistance', and leaves Israel sidelined, according to three regional and two Western sources. Amid growing irritation in Washington with Israel's failure to reach a ceasefire in Gaza, Trump's tour was a snub to Netanyahu, a close US ally who was the first foreign leader to visit Washington after the president returned to office in January, the sources said. The message was clear: in Trump's less ideological, more results-driven vision of Middle East diplomacy, Netanyahu could no longer count on unconditional US support for his right-wing agenda, the sources said. ""This administration is very frustrated with Netanyahu and that frustration is showing,"" said David Schenker, a former US Assistant Secretary of State for Near Eastern Affairs under Republican former President George W Bush. ""They're very, very transactional, and Netanyahu isn't giving them anything right now."" The sources said that the US was not about to turn its back on Israel, which remains a vital US ally whose support in Washington runs deep and is bipartisan. But the Trump administration wanted to deliver the message to Netanyahu that America has its own interests in the Middle East and it does not like him standing in its way, the sources added. US patience has been strained not just by the Israeli prime minister's refusal to countenance a Gaza ceasefire but also his objection to US talks with Iran over its nuclear program, according to sources familiar with the matter. Netanyahu's office did not respond to requests for comment. It has made no public statements on Trump's regional visit. A spokesperson for the White House's National Security Council emphasized Trump was a friend to Israel. ""We continue to work closely with our ally Israel to ensure remaining hostages in Gaza are freed, Iran never obtains a nuclear weapon, and to strengthen regional security in the Middle East,"" NSC spokesman James Hewitt said. While publicly insisting US- Israeli relations remain strong, Trump administration officials have privately expressed irritation with Netanyahu's refusal to fall into line with Washington's positions on Gaza and Iran, according to sources familiar with the matter. Six regional and Western sources said friction between the US and Israel was building before Trump's regional trip. The tension began when Netanyahu flew to Washington on a second visit in April seeking Trump's backing for military strikes on Iran’s nuclear sites - only to discover, to his shock, that Trump was opting for diplomacy. An unbending advocate for a hardline stance against Tehran, Netanyahu was caught off guard, learning just hours before his meeting that negotiations were about to start. In the following weeks, Trump's declaration of a ceasefire with the Houthis in Yemen, rapprochement with Syria's new Islamist leadership and bypassing of Israel on his Gulf visit showed how the traditionally close relations have become strained, the sources said. David Makovsky, a fellow at the Washington Institute, where he directs a project on Arab-Israeli relations, said Washington and Tel Aviv ""don't seem in sync on the big questions the way they were in the first hundred days"" of Trump's presidency. During his election campaign, Trump made clear he wanted a ceasefire in Gaza and the hostages there released before he returned to the White House. But months into Trump's presidency, Netanyahu has continued to defy ceasefire calls, expanded the offensive, and offered no endgame or a post-war plan after 19 months of conflict. The death toll in Gaza has passed 52,900 in recent days, according to local health officials. The war - which has sparked international outcry over the humanitarian crisis in Gaza - was triggered by Palestinian Islamist group Hamas' Oct. 7, 2023 attack on Israel that killed around 1,200 people and captured some 250 hostages. Any hope that Trump could use his regional visit to cement his image as a peacemaker and announce a deal to end the bitterly divisive war were dashed. Instead, Netanyahu - who is charged with war crimes in Gaza by the International Criminal Court - has doubled-down on his aim of crushing Hamas. Netanyahu is also on trial in Israel over corruption charges, which he denies. As Trump wrapped up his visit, Israel launched a new offensive on Friday in Gaza. Israeli strikes have killed hundreds of Palestinians in recent days. Trump's other key priority - expanding the Abraham Accords establishing diplomatic ties between Israel and Arab states to include Saudi Arabia - has also been blocked by Netanyahu’s intransigence. Riyadh has made it clear it will not normalize relations with Israel until the war has ceased and there is a path to Palestinian statehood, something Netanyahu rejects. ""He's got no strategy, no day-after plan on Gaza,"" Schenker said. ""And he’s standing in the way."" Publicly, Trump himself has dismissed any talk of a rift. In an interview with Fox News, broadcast after the regional visit, Trump denied being frustrated with Netanyahu, who he said faced ""a tough situation"" over the war in Gaza. But Trump is forging ahead without Netanyahu. With unapologetic self-interest, the American president is driving a realignment of U.S. diplomacy toward wealthy Sunni states, anchored by oil-rich Riyadh. One senior regional source said Trump's visit had crowned the influential role of Saudi Arabia as the leader of the Sunni Arab world. By contrast, years of Iranian overreach - and Israel's heavy military blows to its proxies Hamas in Gaza and Hezbollah in Lebanon - have left Shi'ite regional power Tehran diminished. ""Iran had the leading role; now Saudi Arabia has entered with other tools: the economy, money, investment,"" the source said. Although Netanyahu led the fight against Iran, the new regional order is being shaped in Riyadh, Doha and Abu Dhabi. These Gulf monarchies are eager to gain access to sophisticated weaponry to shield them from attacks by Iran and its proxies, as well as to secure advanced US chips and AI technology. They have found a willing partner in a US president whose foreign policy can sometimes blur with his family's financial interests. In Qatar, on the second leg of his tour, Trump was offered a luxuriously outfitted 747 Boeing jet, and welcomed with regal fanfare befitting a monarch. Amid a lavish ceremony, sword dances, a cavalry parade and royal banquet, Trump declared Qatar - which has provided major financial support to Hamas - was ""absolutely trying to help"" with the Israeli hostage crisis. Trump's statement struck a nerve in Jerusalem, where officials view Doha as a strategic threat bankrolling one of their bitterest enemies. Many Israelis ""don't understand just how central Qatar has become to the US "", said Yoel Guzansky, a Senior Fellow at the Institute for National Security Studies at Tel Aviv University, noting it hosts the largest US military base in the Middle East. While its ties to Hamas make Qatar a threat to Israel, its vast natural gas wealth, financial clout and diplomatic influence have turned it into an indispensable ally to Washington, Guzanksy added. In total, the White House estimated the tour secured more than $2 trillion in investment commitments for the US economy - including major orders of Boeing planes, deals to buy US defense equipment, data and technology agreements. A Reuters tally of publicly announced deals put the total value at closer to $700 billion. In Saudi Arabia, Trump agreed a record $142 billion arms deal with Riyadh, stoking Israeli fears over losing air superiority in the region if Riyadh gains access to Lockhead's F-35 jet. At the same time, in a recalibration of US -Saudi ties, Trump offered Riyadh leeway on establishing relations with Israel, telling its rulers they could do so in their own time. Now, Trump is negotiating a US-led civil nuclear investment for Saudi Arabia - another deal causing concern in Israel. Sunni states also pushed their own diplomatic agenda. Trump's surprise announcement during his tour that he would lift sanctions against Syria - another major shift in US policy - came at the behest of Saudi Arabia and over the objections of Israel. Until December, when Sharaa toppled Syrian autocrat Bashar al-Assad, Washington had a $10 million reward for his capture. Gulf nations have also applauded Trump's truce with the Houthis in Yemen, part of Iran's regional 'axis of resistance', which put an end to a costly US military operation in the Red Sea. The announcement, which followed the opening of nuclear talks with Iran, came just two days after a Houthi missile struck Israel's Ben Gurion Airport. ""Israel is more and more looking like a spoiler, that stands in the way not just of the US, but the international community, as it tries to shape the region differently after the fall of al-Assad and Hezbollah, and maybe end the Gaza war,"" said Guzansky, a former coordinator of Iran-Gulf affairs at Israel's National Security Council. While Netanyahu's right-wing government has maintained silence on Trump's visit, Israeli media has voiced concern that the country's standing with its most important ally has been eroded. Opposition politicians have criticized the prime minister for leaving Israel sidelined while old alliances are reconfigured. Former Prime Minister Naftali Bennett, who is preparing a return to politics, delivered a blistering indictment of Netanyahu's government, capturing the sense of alarm gripping many in Israel's political and security establishment. ""The Middle East is undergoing tectonic changes before our eyes, our enemies are getting stronger, and Netanyahu...and his gang are paralyzed, passive, as if they don't exist,"" the former prime minister and minister of defense said on social media platform X."
Pakistan,Tribune,At least 125 Palestinians killed in ongoing Israeli airstrikes on Gaza,https://tribune.com.pk/story/2546501/children-among-33-killed-in-israeli-strikes-on-gaza-say-rescuers,"May 18, 2025",Tribune News Desk,International criticism mounted as the humanitarian situation in Gaza continues to deteriorate.,"Israeli forces have intensified their assault on Gaza, killing at least 125 Palestinians — including 36 people in al-Mawasi, an area previously designated as a ""safe zone."" The invasion followed Israel's announcement of an expanded military campaign aimed at defeating Hamas. Mahmud Bassal, spokesperson for Gaza’s civil defence, confirmed that 22 people died in a predawn strike targeting tents sheltering displaced civilians in Al-Mawasi. At least 100 others were wounded in the same attack. ""More than half of the martyrs were children,"" Bassal said, describing the overnight offensive as a ""series of violent Israeli air strikes"" that hit several areas of the besieged territory. Footage from AFP TV showed destroyed shelters and frantic rescue efforts, as survivors searched for loved ones. A post shared by CAIR (@cair_national)  Seven more deaths were reported in a separate strike on a house in Jabalia, northern Gaza, where Al-Awda Hospital also sustained damage. Additional casualties occurred in Al-Zawayda and Khan Yunis, bringing the total death toll from Sunday’s strikes to at least 125. The Israeli military has not issued an official statement regarding these specific incidents, but has previously claimed that its attacks are intended to achieve ""all of the war's objectives,"" including dismantling Hamas. International criticism mounted over the weekend as the humanitarian situation in Gaza continues to deteriorate. Since March 2, Israel has enforced a blockade severely restricting aid, prompting warnings from UN agencies and humaniytarian agencies about critical shortages of food, water, medicine, and fuel that could lead to risk of famine. UN Secretary-General António Guterres, speaking at an Arab League summit in Baghdad, expressed deep concern at the renewed violence. “I am alarmed by the escalating military attacks. We need a permanent ceasefire, now,” he said. The summit concluded with a unified call for the international community to pressure Israel to end hostilities. European leaders also voiced concern. Italy urged Israel to halt its airstrikes, while Germany said it was “deeply concerned.” European Council President António Costa stated he was “shocked by the news from Gaza.”"
